VIDEO CARD COMPANY,JUN,JUL,AUG,SEP,OCT
AMD,9.71%,10.07%,9.92%,9.43%,8.81%
Intel,6.41%,4.55%,6.43%,6.08%,5.76%
NVIDIA,72.48%,75.45%,72.91%,74.54%,76.24%
Other,10.02%,8.35%,9.38%,9.13%,9.21%
